id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21077545,Cozy city center apartment,151917202,Jorge,Lisboa,Misericrdia,38.71422,-9.14292,Entire home/apt,70,2,103,2019-06-25,4.87,4,119
21078376,Carcavelos Sunny Beach Terrace,70672687,Guilherme,Cascais,Carcavelos e Parede,38.6874,-9.33701,Entire home/apt,45,1,53,2019-06-15,3.91,1,155
21078528,3 Bedrooms Apartment,151928415,Friendly,Lisboa,Parque das Naes,38.7567,-9.09722,Entire home/apt,150,1,15,2019-06-01,0.92,2,324
21079750,Príncipe Real Comfortable Flat,3953109,Feels Like Home,Lisboa,Misericrdia,38.71436,-9.1484,Entire home/apt,52,2,16,2019-01-31,0.76,301,315
21080589,Apart Sunflower - Two-Bedroom Center Lisbon,65098235,Lisboa Garden,Lisboa,Arroios,38.72151,-9.13978,Entire home/apt,90,2,2,2018-03-30,0.11,3,364
21080601,Quarto / Room,102500713,Maria Delfina,Mafra,Ericeira,38.96322,-9.41506,Private room,25,3,6,2018-10-25,0.53,2,270
21080659,Charming City Center Apartment,151917202,Jorge,Lisboa,Misericrdia,38.7147,-9.14348,Entire home/apt,80,3,85,2019-06-17,4.01,4,314
21084923,SEA U SOON HOSTEL ERICEIRA SUITE SLATER,151996909,Isabel,Mafra,Ericeira,38.95535,-9.41464,Private room,90,2,0,,,4,155
21085008,SEA U SOON HOSTEL ERICEIRA 10 BED DORM,151996909,Isabel,Mafra,Ericeira,38.95557,-9.41493,Shared room,24,3,0,,,4,160
21085715,Cozy Room near Areerio (A1),151514128,Lisbon,Lisboa,Areeiro,38.74368,-9.13988,Private room,14,1,0,,,49,0
21085737,Blue Lovely Room - at the charming Lisbon Atelier,29336997,Elena&Tito,Lisboa,Santa Maria Maior,38.71426,-9.13137,Private room,20,2,52,2019-06-02,2.49,2,241
21086751,GUINCHO WIND FACTORY HOUSE,64535171,Sophie,Cascais,Cascais e Estoril,38.70861,-9.44628,Entire home/apt,250,4,1,2018-05-03,0.07,6,358
21088919,Double room near Areerio (A2),151514128,Lisbon,Lisboa,Areeiro,38.74196,-9.13973,Private room,14,1,0,,,49,0
21090186,Double Bed Room near Alameda (C01),151514128,Lisbon,Lisboa,Areeiro,38.74011,-9.13238,Private room,15,1,0,,,49,0
21091942,SEA U SOON HOSTEL ERICEIRA TAJ TWIN VISTA MAR,151996909,Isabel,Mafra,Ericeira,38.95491,-9.41318,Private room,70,2,0,,,4,181
21092288,SEA U SOON HOSTEL ERICEIRA JORDY TWIN,151996909,Isabel,Mafra,Ericeira,38.95527,-9.41333,Private room,60,2,2,2018-07-20,0.15,4,178
21093624,Lisbon - Estoril Apartment by the Beach 1,30853937,Joao,Cascais,Cascais e Estoril,38.70234,-9.38936,Entire home/apt,49,4,19,2019-05-07,0.98,4,331
21094834,Cascais lindo,34656855,Lair,Cascais,Cascais e Estoril,38.70277,-9.4152,Entire home/apt,100,5,19,2019-06-22,0.94,1,202
21095379,"Vintage Sailboat Experience, Promenade Marina",18158170,Gil,Lisboa,Parque das Naes,38.75379,-9.09495,Entire home/apt,53,4,22,2019-05-02,1.11,1,337
21096409,PRINCIPE REAL: Cosy & Great location!!!,51333264,Celle & Jon,Lisboa,Misericrdia,38.71478,-9.15299,Entire home/apt,66,3,56,2019-06-19,2.66,2,23
21101718,Private Double bed room near Areerio (A03),151514128,Lisbon,Lisboa,Areeiro,38.74338,-9.14071,Private room,15,1,0,,,49,0
21101719,Comfy Bedroom near Areerio (A04),151514128,Lisbon,Lisboa,Areeiro,38.7421,-9.14143,Private room,15,1,0,,,49,0
21101844,Madragoa charming flat,2324044,Roman + Tiffany,Lisboa,Estrela,38.70833,-9.1539,Entire home/apt,60,3,39,2019-06-21,1.97,1,354
21102092,Sunny room near Areerio (A05),151514128,Lisbon,Lisboa,Areeiro,38.74157,-9.13985,Private room,14,1,0,,,49,0
21102192,Simple Double Room near Alameda (C02),151514128,Lisbon,Lisboa,Areeiro,38.73911,-9.13267,Private room,0,1,0,,,49,0
21102360,Sunny double room with balcony in Anjos (D01),151514128,Lisbon,Lisboa,Arroios,38.72598,-9.13417,Private room,0,1,0,,,49,0
21102375,Beautiful apartment in the heart of Lisbon!,152155434,Mafalda,Lisboa,Santo Antnio,38.72016,-9.15256,Entire home/apt,115,3,18,2019-03-24,0.87,1,178
21102504,Luxury Stay by the Cascais Coastline,76223539,BnBird Homes,Cascais,Carcavelos e Parede,38.68944,-9.33504,Entire home/apt,130,3,20,2019-01-06,0.96,68,0
21102575,Sunny Double Room in Anjos (D02),151514128,Lisbon,Lisboa,Arroios,38.72465,-9.13223,Private room,0,1,0,,,49,0
21102648,Belém Mezzanine Flat/ Free parking zone/ A.C.,2341627,Elsa,Lisboa,Belm,38.70008,-9.20385,Entire home/apt,84,4,18,2019-05-11,0.86,4,110
21102744,Double Bed Room near Alameda (C04),151514128,Lisbon,Lisboa,Areeiro,38.73949,-9.13252,Private room,0,1,0,,,49,0
21103127,Double Bed Room in Anjos (D03),151514128,Lisbon,Lisboa,Arroios,38.72455,-9.13281,Private room,0,1,0,,,49,0
21103315,Sunny Double Room in Anjos (D04),151514128,Lisbon,Lisboa,Arroios,38.72559,-9.13245,Private room,0,1,0,,,49,0
21103774,CAMPO PEQUENO TERRACE by HOMING,104083974,Homing,Lisboa,Areeiro,38.74366,-9.14363,Entire home/apt,60,1,3,2018-02-04,0.15,164,324
21104314,Single Bed Room in Anjos (D06),151514128,Lisbon,Lisboa,Arroios,38.72552,-9.13281,Private room,0,1,0,,,49,0
21104491,Single Bed Room in saldhana (J01),151514128,Lisbon,Lisboa,Areeiro,38.73588,-9.14027,Private room,0,1,0,,,49,0
21104641,Double Bed Room near Alameda (K01),151514128,Lisbon,Lisboa,Areeiro,38.73933,-9.13226,Private room,0,1,0,,,49,0
21104949,Sunny bedroom in saldhana (J02),151514128,Lisbon,Lisboa,Areeiro,38.73721,-9.1414,Private room,0,1,0,,,49,0
21104966,Asul B&B Goa,134724137,Pedro,Lisboa,Misericrdia,38.70847,-9.15114,Private room,74,1,12,2019-05-26,0.57,3,248
21105252,Double Bed Rooin the city centre (J03),151514128,Lisbon,Lisboa,Areeiro,38.73745,-9.14177,Private room,0,1,0,,,49,0
21105260,Single Room Apartment near Alameda (K02),151514128,Lisbon,Lisboa,Areeiro,38.73943,-9.13245,Private room,0,1,0,,,49,0
21105481,Double Bed Room near Alameda (K03),151514128,Lisbon,Lisboa,Areeiro,38.74021,-9.13314,Private room,0,1,0,,,49,0
21105574,Letters House,152033867,Ana,Cascais,Cascais e Estoril,38.69922,-9.43013,Entire home/apt,95,3,16,2019-04-20,0.77,1,122
21105807,Single Bed Room near Alameda (K04),151514128,Lisbon,Lisboa,Areeiro,38.74,-9.1324,Private room,0,1,0,,,49,0
21106004,Double Bed Room in the city centre (J04),151514128,Lisbon,Lisboa,Areeiro,38.73736,-9.14035,Private room,0,1,0,,,49,0
21106059,Cosy Carmo rooftop - Casa Silêncio,10332445,Miguel,Lisboa,Santa Maria Maior,38.71295,-9.14084,Entire home/apt,60,1,95,2019-06-23,4.47,4,304
21106351,Single Bed Room near Alameda (K05),151514128,Lisbon,Lisboa,Areeiro,38.73922,-9.13268,Private room,0,1,0,,,49,0
21106562,Single Bed Room near Alameda (K06),151514128,Lisbon,Lisboa,Areeiro,38.73873,-9.13239,Private room,0,1,0,,,49,0
21107659,Comfortable apartment in Madragoa,152206615,Maria José,Lisboa,Estrela,38.70834,-9.15438,Entire home/apt,50,3,22,2019-06-11,1.06,1,343
21108570,ELÉCTRICO  2 beds or single room,731092,Teresa,Sintra,Rio de Mouro,38.75655,-9.33864,Private room,30,2,1,2019-06-07,1,4,1
21110064,Elias 8 Bedroom apartament,7633592,Jorge,Lisboa,Avenidas Novas,38.73906,-9.14467,Entire home/apt,200,2,37,2019-06-10,1.77,3,273
21111209,Quiet Apartment in Lisbon,152243043,Maria & Pedro,Lisboa,Penha de Frana,38.73017,-9.12922,Entire home/apt,65,3,45,2019-06-04,2.17,2,330
21112683,LIGHT FILLED 3BR WITH A/C IN CENTRAL LISBON,1112766,Alexandra,Lisboa,Penha de Frana,38.73394,-9.13092,Entire home/apt,100,2,61,2019-06-14,3.08,1,238
21113397,Lisbon Apartment close to Bus(30m)&Train(400m)stop,152266489,Rossana,Amadora,guas Livres,38.74645,-9.21858,Entire home/apt,35,6,5,2018-09-30,0.28,1,180
21116558,Spacious Double bedroom in city centre (J05),151514128,Lisbon,Lisboa,Areeiro,38.7365,-9.14019,Private room,0,1,0,,,49,0
21116790,Single Bed Room in saldhana (J06),151514128,Lisbon,Lisboa,Areeiro,38.73741,-9.14046,Private room,0,1,0,,,49,0
21116858,Double Bed Room in Alameda (M01),151514128,Lisbon,Lisboa,Areeiro,38.74083,-9.13273,Private room,0,1,0,,,49,0
21116993,Spacious Flat near Anjos (L),151514128,Lisbon,Lisboa,Arroios,38.73225,-9.13617,Entire home/apt,0,1,0,,,49,0
21117071,Single Bed Room in Alameda (M02),151514128,Lisbon,Lisboa,Areeiro,38.74097,-9.13279,Private room,0,1,0,,,49,0
21117276,Love Príncipe Real-Romantic and Quiet!,2508366,Raquel,Lisboa,Misericrdia,38.71521,-9.15171,Entire home/apt,72,2,43,2019-06-04,2.22,3,346
21117356,Single room near arroios (N1),151514128,Lisbon,Lisboa,Arroios,38.73432,-9.13177,Private room,0,1,0,,,49,0
21117430,Double Bed Room in Alameda (M03),151514128,Lisbon,Lisboa,Areeiro,38.73914,-9.1325,Private room,0,1,0,,,49,0
21117439,Spacious Modern Flat in the Estrela District with Parking,152302334,Susan,Lisboa,Estrela,38.71296,-9.15718,Entire home/apt,239,2,33,2019-06-15,1.84,1,309
21117524,Double bedroom in Arroios (N2),151514128,Lisbon,Lisboa,Arroios,38.73368,-9.13174,Private room,0,1,0,,,49,0
21117691,Single Bed Room in Alameda (M05),151514128,Lisbon,Lisboa,Areeiro,38.73859,-9.13309,Private room,0,1,0,,,49,0
21118368,Blue House no 2 @ Principe Real Garden,2108990,Lisboa,Lisboa,Santo Antnio,38.71708,-9.14758,Entire home/apt,89,1,76,2019-06-16,3.60,9,273
21118387,Spacious double room in Arroios (N03),151514128,Lisbon,Lisboa,Arroios,38.73593,-9.13214,Private room,0,1,0,,,49,0
21119627,Santa Cruz Studio | Beach | Surf | Elevator,152317743,Trindade,Torres Vedras,A dos Cunhados e Maceira,39.14057,-9.37657,Entire home/apt,50,3,1,2018-08-31,0.10,1,295
